Country,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2014,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2013,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2012,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2011,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2010,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2009,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2008,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2007,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2006,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2005,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2004,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2003,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2002,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2001,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 2000,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1999,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1998,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1997,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1996,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1995,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1994,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1993,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1992,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1991,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1990,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%); 1989
Bhutan,99,97,97,95,91,93,96,95,95,95,89,95,83,89,98,90,81,84,16,,,,,,,
Bolivia (Plurinational State of),94,94,93,95,91,93,88,84,83,85,84,80,77,77,77,,,,,,,,,,,
Bosnia and Herzegovina,89,91,92,88,89,90,88,94,90,93,36,,,,,,,,,,,,,,,
Botswana,95,95,95,95,95,94,94,93,93,92,91,90,88,87,86,85,77,60,62,73,,,,,,
Brazil,96,96,96,98,96,99,96,99,99,98,96,97,92,91,94,84,13,6,15,10,4,,,,,
Brunei Darussalam,99,98,99,93,96,96,96,97,99,99,99,99,99,99,99,93,99,98,98,99,99,99,96,96,96,
Bulgaria,95,95,95,96,95,96,96,95,96,96,94,96,88,93,94,97,97,77,94,95,94,96,71,,,
Burkina Faso,91,88,90,91,91,92,93,89,76,,,,,,,,,,,,,,,,,
Burundi,95,96,96,96,96,94,92,99,92,87,83,,,,,,,,,,,,,,,
Cote d'Ivoire,67,80,82,62,85,81,74,76,77,76,67,63,48,10,,,,,,,,,,,,
Cabo Verde,95,93,94,90,98,98,98,96,95,93,91,66,40,,,,,,,,,,,,,
Cambodia,97,92,95,94,92,92,91,82,80,,,,,,,,,,,,,,,,,
Cameroon,87,89,85,82,84,80,84,82,81,79,,,,,,,,,,,,,,,,
Canada,75,75,70,70,56,42,28,14,14,14,14,14,,,,,,,,,,,,,,
Central African Republic,47,23,47,47,45,42,,,,,,,,,,,,,,,,,,,,
Chad,46,48,45,33,39,24,17,,,,,,,,,,,,,,,,,,,
Chile,92,90,90,94,92,94,95,92,95,,,,,,,,,,,,,,,,,
China,99,99,99,99,99,99,95,92,91,84,79,75,70,65,60,,,,,,,,,,,
Colombia,90,91,92,85,88,92,92,93,93,93,89,92,78,80,78,77,75,85,95,71,,,,,,
Comoros,80,83,86,83,74,83,81,75,69,68,77,28,,,,,,,,,,,,,,
Congo,90,85,79,80,74,75,73,64,,,,,,,,,,,,,,,,,,
Cook Islands,99,98,98,93,99,82,99,99,99,99,99,93,93,93,98,90,88,99,65,85,79,76,98,85,71,
Costa Rica,91,94,91,84,89,87,89,89,88,90,89,86,94,80,89,83,86,76,,,,,,,,
Croatia,95,96,98,97,97,97,97,95,,,,,,,,,,,,,,,,,,
Cuba,96,96,96,96,96,96,95,93,89,95,99,99,98,98,98,99,98,98,99,99,98,84,,,,
Cyprus,96,96,96,96,96,96,93,93,93,88,88,88,88,89,89,89,88,88,88,68,54,41,27,20,,
Czech Republic,99,99,99,99,99,99,99,99,98,99,98,92,86,,,,,,,,,,,,,
Democratic People's Republic of Korea,93,93,96,94,93,93,92,92,96,92,98,27,,,,,,,,,,,,,,
Democratic Republic of the Congo,80,74,75,74,60,72,65,70,,,,,,,,,,,,,,,,,,
Djibouti,78,82,81,87,88,89,88,25,,,,,,,,,,,,,,,,,,
Dominica,97,96,97,98,98,99,96,93,7,,,,,,,,,,,,,,,,,
Dominican Republic,89,80,74,80,83,80,81,81,84,87,82,79,63,66,68,76,62,,,,,,,,,
Ecuador,83,87,88,88,90,91,93,94,96,92,88,82,75,69,36,,,,,,,,,,,
Egypt,94,97,93,96,97,97,97,98,98,98,97,98,97,99,98,97,88,81,77,74,57,,,,,
El Salvador,93,92,92,89,89,91,98,99,96,89,90,94,81,75,99,1,,,,,,,,,,
Equatorial Guinea,24,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,94,94,94,96,90,92,94,91,94,96,84,91,86,,,,,,,,,,,,,
Estonia,93,93,94,94,94,95,94,95,95,95,90,,,,,,,,,,,,,,,
Ethiopia,77,72,69,65,62,56,52,47,,,,,,,,,,,,,,,,,,
Fiji,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,90,82,60,88,,,,
France,82,74,78,74,65,51,47,42,39,35,35,28,29,28,26,24,27,,,,,,,,,
Gabon,70,79,82,75,67,79,82,75,52,28,,,,,,,,,,,,,,,,
Gambia,96,97,98,96,97,97,98,97,95,95,95,94,92,91,91,93,92,94,88,87,57,56,,78,,
Georgia,91,96,92,89,95,54,89,94,84,79,64,48,51,61,55,,,,,,,,,,,
Germany,87,87,87,87,87,87,87,86,87,90,88,90,87,86,84,81,81,71,57,45,32,15,,,,
Ghana,98,90,92,91,94,94,93,94,84,84,80,80,80,,,,,,,,,,,,,
Greece,96,98,98,95,95,95,95,95,94,93,92,92,91,90,89,88,69,50,12,12,2,2,15,10,,
Grenada,97,97,97,94,97,99,99,96,91,99,83,97,98,96,,,,,,,,,,,,
Guatemala,73,85,96,88,94,92,95,85,89,87,,,,,,,,,,,,,,,,
Guinea,51,63,63,63,64,57,57,57,,,,,,,,,,,,,,,,,,
Guinea-Bissau,80,80,80,80,80,80,,,,,,,,,,,,,,,,,,,,
Guyana,98,98,97,93,95,98,93,94,93,93,91,90,91,85,,,,,,,,,,,,
Haiti,48,68,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,85,87,88,91,95,98,93,94,95,98,94,92,95,96,94,,,,,,,,,,,
India,70,70,73,44,38,37,29,6,6,8,6,,,,,,,,,,,,,,,
Indonesia,78,85,83,81,83,82,82,76,66,65,64,64,63,62,65,77,76,65,62,50,42,43,28,,,
Iran (Islamic Republic of),99,99,98,99,99,99,99,97,98,94,95,98,99,94,99,95,94,93,84,59,62,,,,,
Iraq,62,66,61,77,72,75,66,56,59,65,62,63,65,66,67,52,3,65,22,57,40,,,,,
Ireland,95,95,95,95,46,,,,,,,,,,,,,,,,,,,,,
Israel,97,97,97,98,97,98,99,99,96,96,99,98,98,96,98,96,97,97,96,93,92,92,92,,,
Italy,94,96,97,96,96,96,96,97,96,96,96,95,95,95,94,97,95,95,95,95,95,95,95,95,,
Jamaica,92,93,96,92,94,90,92,92,97,99,98,36,,,,,,,,,,,,,,
Jordan,98,98,98,98,98,98,97,98,98,95,95,97,95,97,93,92,91,90,85,54,,,,,,
Kazakhstan,95,99,95,99,99,99,99,94,99,94,99,99,95,95,99,90,49,,,,,,,,,
Kenya,81,82,83,88,83,84,85,81,80,76,73,73,84,,,,,,,,,,,,,
Kiribati,75,95,94,95,91,86,83,96,88,50,67,73,79,85,90,82,89,97,66,36,36,8,6,7,73,
Kuwait,96,99,98,99,99,99,99,99,99,99,94,99,99,99,95,95,99,98,99,99,93,91,38,,,
Kyrgyzstan,96,97,96,96,96,96,97,94,90,97,99,99,99,57,44,10,,,,,,,,,,
Lao People's Democratic Republic,88,87,79,78,74,67,61,50,57,49,45,50,,,,,,,,,,,,,,
Latvia,92,94,90,89,91,92,93,91,94,99,98,98,98,96,95,94,9,,,,,,,,,
Lebanon,81,81,81,81,81,81,81,80,78,77,75,74,77,80,83,86,,,,,,,,,,
Lesotho,96,96,96,96,93,91,88,90,91,87,60,17,,,,,,,,,,,,,,
Liberia,50,76,80,77,47,64,64,,,,,,,,,,,,,,,,,,,
Libya,94,96,98,98,98,98,98,98,98,97,99,96,91,93,92,92,92,91,93,92,92,91,88,,,
Lithuania,94,93,93,95,94,95,96,96,95,95,94,95,94,95,98,96,73,,,,,,,,,
Luxembourg,94,94,94,95,94,95,94,87,95,95,94,95,95,86,77,67,58,49,,,,,,,,
Madagascar,73,74,70,73,70,77,77,84,82,81,71,61,51,,,,,,,,,,,,,
Malawi,91,89,96,97,93,93,91,87,99,93,89,84,64,,,,,,,,,,,,,
Malaysia,96,96,97,96,96,96,97,96,95,96,94,95,95,95,97,96,96,97,96,96,94,86,86,89,86,69
Maldives,99,99,99,96,97,98,98,98,98,98,97,98,98,98,96,90,45,50,96,80,63,21,,,,
Mali,77,71,68,66,72,71,74,74,90,83,73,79,,,,,,,,,,,,,,
Malta,90,94,93,82,75,86,86,82,86,85,85,89,,,,,,,,,,,,,,
Marshall Islands,79,80,80,89,97,99,97,93,97,89,72,74,80,76,38,80,80,70,68,47,46,17,24,17,10,3
Mauritania,84,80,80,75,64,64,74,74,68,42,,,,,,,,,,,,,,,,
Mauritius,97,98,98,98,99,99,99,97,97,97,98,97,88,92,88,85,90,90,,,,,,,,
Mexico,84,82,99,98,93,95,97,98,98,98,98,98,97,97,97,,,,,,,,,,,
Micronesia (Federated States of),83,83,82,83,88,89,89,90,84,91,80,89,85,81,87,77,79,78,80,82,82,82,73,65,56,47
Monaco,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,
Mongolia,99,98,99,99,96,97,96,98,98,98,98,98,98,95,93,92,91,88,93,88,67,69,47,18,,
Montenegro,87,90,90,91,90,87,93,90,90,,,,,,,,,,,,,,,,,
Morocco,99,99,99,98,98,98,97,95,95,96,95,90,92,84,43,10,,,,,,,,,,
Mozambique,78,78,76,76,74,74,75,75,75,75,76,76,76,25,,,,,,,,,,,,
Myanmar,75,75,58,40,92,91,85,85,75,62,39,8,,,,,,,,,,,,,,
Namibia,88,89,84,82,83,,,,,,,,,,,,,,,,,,,,,
Nauru,95,87,79,99,99,99,99,99,99,80,78,77,75,95,58,62,29,86,72,57,79,99,90,79,,
Nepal,92,92,90,92,82,89,82,82,69,41,27,2,,,,,,,,,,,,,,
Netherlands,95,31,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,93,93,93,95,90,93,90,88,87,87,88,89,89,90,90,89,87,99,94,88,81,74,67,,,
Nicaragua,98,98,98,98,98,98,97,93,88,86,79,86,85,87,83,80,,,,,,,,,,
Niger,68,67,71,75,70,71,,,,,,,,,,,,,,,,,,,,
Nigeria,66,63,42,46,49,63,41,42,27,18,,,,,,,,,,,,,,,,
Niue,99,99,98,98,99,99,99,98,99,85,99,94,98,99,99,99,99,99,99,90,99,99,99,99,,
Oman,98,97,97,99,98,97,98,99,98,98,98,99,99,99,99,99,98,99,99,99,99,96,99,94,,
Pakistan,73,73,72,74,82,78,65,75,78,70,65,63,,,,,,,,,,,,,,
Palau,99,99,89,91,80,69,92,91,98,98,98,99,99,98,96,96,96,90,99,99,73,94,75,89,,
Panama,80,80,85,87,94,85,86,85,88,92,95,98,98,98,,,,,,,,,,,,
Papua New Guinea,62,68,63,61,56,62,56,59,70,63,60,67,60,59,57,54,47,44,43,23,20,7,12,19,20,
Paraguay,87,86,87,89,89,85,87,86,92,92,90,86,,,,,,,,,,,,,,
Peru,88,88,95,91,93,93,93,93,94,94,92,65,,,,,,,,,,,,,,
Philippines,79,94,70,76,77,85,88,87,77,49,48,52,42,45,7,32,30,31,35,38,,,,,,
Poland,96,96,97,98,98,98,98,98,98,98,98,97,98,95,99,99,99,97,56,23,4,1,1,1,,
Portugal,98,98,98,97,97,96,97,97,97,94,94,94,82,70,58,61,64,49,34,6,,,,,,
Qatar,99,99,92,93,97,99,97,94,96,97,97,93,98,93,89,92,92,90,90,90,90,93,89,86,,
Republic of Korea,99,99,99,99,94,94,94,91,99,99,92,91,92,89,93,88,82,88,93,99,,,,,,
Republic of Moldova,92,91,94,96,98,89,97,95,98,99,99,99,99,94,92,94,93,87,81,19,,,,,,
Romania,94,96,96,96,98,95,97,99,99,98,99,98,99,98,98,99,99,99,99,,,,,,,
Russian Federation,97,97,97,97,97,98,98,98,98,97,96,94,82,46,,,,,,,,,,,,
Rwanda,99,99,98,97,97,97,97,97,99,95,89,96,88,,,,,,,,,,,,,
Saint Kitts and Nevis,98,97,98,98,96,97,98,99,99,99,96,99,96,99,99,99,99,,,,,,,,,
Saint Lucia,99,99,98,99,97,95,96,99,85,95,91,84,14,,,,,,,,,,,,,
Saint Vincent and the Grenadines,98,97,96,96,99,99,99,99,99,99,99,31,,,,,,,,,,,,,,
Samoa,91,95,99,91,87,72,38,69,56,60,70,97,98,98,96,99,99,99,98,96,94,1,18,,,
San Marino,80,69,96,86,78,92,87,92,95,95,97,96,95,95,94,97,,97,98,98,98,98,99,99,,
Sao Tome and Principe,95,97,96,96,98,98,99,87,75,96,70,43,,,,,,,,,,,,,,
Saudi Arabia,98,98,98,98,98,98,98,96,96,97,96,95,97,95,93,92,95,91,92,93,94,93,89,86,66,
Senegal,89,92,91,92,89,86,88,94,89,84,54,,,,,,,,,,,,,,,
Serbia,92,91,97,94,89,93,93,99,93,65,89,,,,,,,,,,,,,,,
Seychelles,99,99,99,99,99,99,99,99,99,99,99,99,99,96,98,99,97,97,98,99,,,,,,
Sierra Leone,83,92,91,89,86,84,77,63,,,,,,,,,,,,,,,,,,
Singapore,97,97,97,96,96,97,96,95,94,96,94,95,95,95,97,96,96,97,96,96,94,90,78,76,74,
Slovakia,97,98,99,99,99,99,99,99,99,99,99,99,99,99,98,,,,,,,,,,,
Solomon Islands,88,94,99,99,90,92,89,90,99,83,81,79,75,83,81,79,75,73,97,68,65,53,,,,
Somalia,42,42,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,74,65,73,76,74,70,65,74,76,74,66,71,72,72,73,73,74,74,,,,,,,,
Spain,96,95,96,97,97,96,97,96,81,81,78,81,82,83,77,80,81,84,82,,,,,,,
Sri Lanka,99,99,99,99,99,97,98,98,98,99,62,32,,,,,,,,,,,,,,
Sudan,94,93,92,93,75,72,78,78,60,22,,,,,,,,,,,,,,,,
Suriname,85,86,84,86,86,87,84,84,84,83,,,,,,,,,,,,,,,,
Swaziland,98,98,95,91,89,88,90,92,93,95,93,90,88,86,83,81,78,76,76,,,,,,,
Sweden,42,42,42,42,,,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,71,71,43,66,84,84,83,83,83,83,82,81,80,80,79,78,77,76,75,74,64,23,5,,,
Tajikistan,97,96,94,96,93,93,86,84,88,81,81,58,39,,,,,,,,,,,,,
Thailand,99,99,98,98,98,98,98,96,96,96,96,96,95,95,95,95,95,94,93,93,66,58,15,,,
The former Yugoslav republic of Macedonia,97,97,98,96,90,95,97,96,89,53,,,,,,,,,,,,,,,,
Timor-Leste,77,82,83,67,72,72,79,,,,,,,,,,,,,,,,,,,
Togo,87,84,84,85,83,78,24,,,,,,,,,,,,,,,,,,,
Tonga,82,82,77,82,82,84,84,87,89,89,90,85,88,91,93,90,95,95,94,91,90,96,82,88,94,
Trinidad and Tobago,92,92,92,90,90,90,90,89,89,95,94,76,5,,,,,,,,,,,,,
Tunisia,98,98,97,98,98,99,99,98,99,97,96,92,93,94,94,94,91,88,83,,,,,,,
Turkey,96,97,97,96,96,94,92,96,82,85,77,68,72,77,71,,,,,,,,,,,
Turkmenistan,97,98,98,97,96,97,96,98,98,99,96,97,96,,,,,,,,,,,,,
Tuvalu,90,90,97,96,89,91,99,97,97,79,98,95,99,99,81,93,96,88,86,49,17,,,,,
Uganda,78,78,78,82,80,79,71,73,64,64,62,44,29,,,,,,,,,,,,,
Ukraine,46,46,46,21,48,66,84,92,96,97,98,77,48,7,4,,,,,,,,,,,
United Arab Emirates,94,94,94,94,94,93,92,92,92,92,92,92,92,92,92,92,96,90,90,90,90,90,,,,
United Republic of Tanzania,97,91,92,90,91,85,86,83,90,90,95,95,89,,,,,,,,,,,,,
United States of America,90,90,91,92,92,92,94,94,93,93,92,92,88,89,90,88,87,84,82,68,42,16,,,,
Uruguay,95,94,95,95,95,95,94,94,95,96,94,91,95,94,92,93,,,,,,,,,,
Uzbekistan,99,99,99,99,99,98,91,99,98,99,99,99,62,,,,,,,,,,,,,
Vanuatu,64,64,64,63,62,62,61,60,59,61,63,64,66,68,70,71,73,75,69,66,69,82,82,46,,
Venezuela (Bolivarian Republic of),78,82,81,78,78,84,53,62,71,88,82,72,60,53,5,,,,,,,,,,,
Viet Nam,95,59,97,95,88,94,87,67,93,94,94,78,,,,,,,,,,,,,,
Yemen,88,88,82,81,87,86,87,87,85,86,48,42,34,21,15,9,,,,,,,,,,
Zambia,86,79,78,81,83,94,87,80,81,82,,,,,,,,,,,,,,,,
Zimbabwe,91,93,95,93,89,73,75,72,68,65,68,70,73,76,79,31,24,16,9,1,,,,,,
